unicode,description,annotation
⛹️🏿,"PERSON WITH BALL,TYPE6","ball,person,sport,travel"
🏋️,WEIGHT LIFTER,"lifter,person,sport,weight"
🏋️🏻,"WEIGHT LIFTER,TYPE12","lifter,person,sport,weight"
🏋️🏼,"WEIGHT LIFTER,TYPE3","lifter,person,sport,weight"
🏋️🏽,"WEIGHT LIFTER,TYPE4","lifter,person,sport,weight"
🏋️🏾,"WEIGHT LIFTER,TYPE5","lifter,person,sport,weight"
🏋️🏿,"WEIGHT LIFTER,TYPE6","lifter,person,sport,weight"
🚴,BICYCLIST,"bicycle,bicyclist,bike,cyclist,person,place,sport,travel"
🚴🏻,"BICYCLIST,TYPE12","bicycle,bicyclist,bike,cyclist,person,place,sport,travel"
🚴🏼,"BICYCLIST,TYPE3","bicycle,bicyclist,bike,cyclist,person,place,sport,travel"
🚴🏽,"BICYCLIST,TYPE4","bicycle,bicyclist,bike,cyclist,person,place,sport,travel"
🚴🏾,"BICYCLIST,TYPE5","bicycle,bicyclist,bike,cyclist,person,place,sport,travel"
🚴🏿,"BICYCLIST,TYPE6","bicycle,bicyclist,bike,cyclist,person,place,sport,travel"
🚵,MOUNTAIN BICYCLIST mountain biker,"bicycle,bicyclist,bike,cyclist,mountain,person,place,sport,travel"
🚵🏻,"MOUNTAIN BICYCLIST,TYPE12","bicycle,bicyclist,bike,cyclist,mountain,person,place,sport,travel"
🚵🏼,"MOUNTAIN BICYCLIST,TYPE3","bicycle,bicyclist,bike,cyclist,mountain,person,place,sport,travel"
🚵🏽,"MOUNTAIN BICYCLIST,TYPE4","bicycle,bicyclist,bike,cyclist,mountain,person,place,sport,travel"
🚵🏾,"MOUNTAIN BICYCLIST,TYPE5","bicycle,bicyclist,bike,cyclist,mountain,person,place,sport,travel"
🚵🏿,"MOUNTAIN BICYCLIST,TYPE6","bicycle,bicyclist,bike,cyclist,mountain,person,place,sport,travel"
🏎️,RACING CAR,"car,place,racing,sport,travel"
🏍️,RACING MOTORCYCLE motorcycle,"motorcycle,person,racing,sport,travel"
🎯,DIRECT HIT,"activity,bull,bullseye,dart,entertainment,eye,game,hit,object,target"
🎮,VIDEO GAME,"controller,entertainment,game,object,video game"
🕹️,JOYSTICK,"entertainment,game,joystick,object,video game"
🎲,GAME DIE,"dice,die,entertainment,game,object"
♠️,BLACK SPADE SUIT spade suit,"card,game,spade,suit,symbol"
♥️,BLACK HEART SUIT heart suit,"card,emotion,game,heart,hearts,suit,symbol"
♦️,BLACK DIAMOND SUIT diamond suit,"card,diamond,diamonds,game,suit,symbol"
♣️,BLACK CLUB SUIT club suit,"card,club,clubs,game,suit,symbol"
🃏,PLAYING CARD BLACK JOKER joker,"card,entertainment,game,joker,object,playing"
🀄️,MAHJONG TILE RED DRAGON mahjong red dragon,"game,mahjong,object,red"
🎴,FLOWER PLAYING CARDS,"activity,card,entertainment,flower,game,japanese,object,playing"
🔇,SPEAKER WITH CANCELLATION STROKE speaker off,"mute,object,quiet,silent,sound,speaker,volume"
🔈,SPEAKER,"object,sound,speaker,volume"
🔉,SPEAKER WITH ONE SOUND WAVE speaker on,"low,object,sound,speaker,volume,wave"
🔊,SPEAKER WITH THREE SOUND WAVES speaker loud,"3,entertainment,high,loud,object,sound,speaker,three,volume"
📢,PUBLIC ADDRESS LOUDSPEAKER loudspeaker,"communication,loud,loudspeaker,object,public address,sound"
📣,CHEERING MEGAPHONE megaphone,"cheering,communication,megaphone,object,sound"
📯,POSTAL HORN,"communication,entertainment,horn,object,post,postal,sound"
🔔,BELL,"bell,object,sound"
🔕,BELL WITH CANCELLATION STROKE bell with slash,"bell,forbidden,mute,no,not,object,prohibited,quiet,silent,sound"
🎼,MUSICAL SCORE,"activity,entertainment,music,object,score,sound"
🎵,MUSICAL NOTE,"activity,entertainment,music,note,object,sound"
🎶,MULTIPLE MUSICAL NOTES musical notes,"activity,entertainment,music,note,notes,object,sound"
🎙️,STUDIO MICROPHONE,"mic,microphone,music,object,sound,studio"
🎚️,LEVEL SLIDER,"level,music,object,slider,sound"
🎛️,CONTROL KNOBS,"control,knobs,music,object,sound"
🎤,MICROPHONE,"activity,entertainment,karaoke,mic,microphone,object,sound"
🎧,HEADPHONE,"activity,earbud,entertainment,headphone,object,sound"
📻,RADIO,"entertainment,object,radio,video"
🎷,SAXOPHONE,"activity,entertainment,instrument,music,object,sax,saxophone,sound"
🎸,GUITAR,"activity,entertainment,guitar,instrument,music,object,sound"
🎹,MUSICAL KEYBOARD,"activity,entertainment,instrument,keyboard,music,object,piano,sound"
🎺,TRUMPET,"activity,entertainment,instrument,music,object,sound,trumpet"
🎻,VIOLIN,"activity,entertainment,instrument,music,object,sound,violin"
📱,MOBILE PHONE,"cell,communication,mobile,object,phone,telephone"
📲,MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT mobile phone with arrow,"arrow,call,cell,communication,mobile,object,phone,receive,telephone"
☎️,BLACK TELEPHONE telephone,"object,office,phone,sound,telephone"
📞,TELEPHONE RECEIVER,"communication,object,phone,receiver,sound,telephone"
📟,PAGER,"communication,object,office,pager"
📠,FAX MACHINE,"communication,fax,object,office"
🔋,BATTERY,"battery,object"
🔌,ELECTRIC PLUG,"electric,electricity,object,plug"
💻,PERSONAL COMPUTER laptop computer,"computer,object,office,pc,personal"
🖥️,DESKTOP COMPUTER,"computer,desktop,object,office"
🖨️,PRINTER,"computer,object,office,printer"
⌨️,KEYBOARD,"computer,keyboard,object"
🖱️,THREE BUTTON MOUSE computer mouse,"3,button,computer,mouse,object,office,three"
🖲️,TRACKBALL,"computer,object,office,trackball"
💽,MINIDISC,"computer,disk,entertainment,minidisk,object,office,optical"
💾,FLOPPY DISK,"computer,disk,floppy,object,office"
💿,OPTICAL DISC,"bluray,cd,computer,disk,dvd,object,office,optical"
📀,DVD,"bluray,cd,computer,disk,dvd,entertainment,object,office,optical"
🎥,MOVIE CAMERA,"activity,camera,cinema,entertainment,movie,object"
🎞️,FILM FRAMES,"cinema,entertainment,film,frames,movie,object"
📽️,FILM PROJECTOR,"cinema,entertainment,film,movie,object,projector,video"
🎬,CLAPPER BOARD,"activity,clapper,entertainment,movie,object"
📺,TELEVISION,"entertainment,object,television,tv,video"
📷,CAMERA,"camera,entertainment,object,video"
📸,CAMERA WITH FLASH,"camera,flash,object,video"
📹,VIDEO CAMERA,"camera,entertainment,object,video"
📼,VIDEOCASSETTE,"entertainment,object,tape,vhs,video,videocassette"
🔍,LEFTPOINTING MAGNIFYING GLASS,"glass,magnifying,object,search,tool"
🔎,RIGHTPOINTING MAGNIFYING GLASS,"glass,magnifying,object,search,tool"
🔬,MICROSCOPE,"microscope,object,tool"
🔭,TELESCOPE,"object,telescope,tool"
📡,SATELLITE ANTENNA,"antenna,communication,dish,object,office,satellite"
🕯️,CANDLE,"candle,light,object"
💡,ELECTRIC LIGHT BULB light bulb,"bulb,comic,electric,idea,light,object"
🔦,ELECTRIC TORCH flashlight,"electric,flashlight,light,object,tool,torch"
🏮,IZAKAYA LANTERN red paper lantern,"bar,japanese,lantern,light,place,red"
📔,NOTEBOOK WITH DECORATIVE COVER,"book,cover,decorated,education,notebook,object,office"
📕,CLOSED BOOK,"book,closed,education,object,office"
📖,OPEN BOOK,"book,education,object,office,open"
📗,GREEN BOOK,"book,education,green,object,office"
📘,BLUE BOOK,"blue,book,education,object,office"
📙,ORANGE BOOK,"book,education,object,office,orange"
📚,BOOKS,"book,books,education,object,office"
📓,NOTEBOOK,"notebook,object,office"
📒,LEDGER,"ledger,notebook,object,office"
